scope,unit_id,name,key,address,quantity,access,data_type,gain,unit,comment
plant_ro,247,System time,system_time,30000,2,RO,U32,1,s,Epoch seconds
plant_ro,247,System time zone,system_time_zone,30002,1,RO,S16,1,min,Signed offset (V2.5 corrects V1.7 which said U16)
plant_ro,247,EMS work mode,ems_work_mode,30003,1,RO,U16,,,0=max self-consumption; 1=Sigen AI; 2=TOU; 7=Remote EMS
plant_ro,247,Grid sensor status,grid_sensor_status,30004,1,RO,U16,,,0=not connected; 1=connected
plant_ro,247,Grid sensor active power,grid_sensor_active_power,30005,2,RO,S32,1000,kW,>0 import/buy from grid; <0 export/sell to grid
plant_ro,247,Grid sensor reactive power,grid_sensor_reactive_power,30007,2,RO,S32,1000,kvar,
plant_ro,247,On/off-grid status,on_off_grid_status,30009,1,RO,U16,,,0=on-grid; 1=off-grid automatic; 2=off-grid manual
plant_ro,247,Maximum active power,maximum_active_power,30010,2,RO,U32,1000,kW,Base value for active-power adjustments
plant_ro,247,Maximum apparent power,maximum_apparent_power,30012,2,RO,U32,1000,kVA,Base value for reactive-power adjustments
plant_ro,247,Energy storage system SOC,energy_storage_system_soc,30014,1,RO,U16,10,%,
plant_ro,247,Plant phase A active power,plant_phase_a_active_power,30015,2,RO,S32,1000,kW,
plant_ro,247,Plant phase B active power,plant_phase_b_active_power,30017,2,RO,S32,1000,kW,
plant_ro,247,Plant phase C active power,plant_phase_c_active_power,30019,2,RO,S32,1000,kW,
plant_ro,247,Plant phase A reactive power,plant_phase_a_reactive_power,30021,2,RO,S32,1000,kvar,
plant_ro,247,Plant phase B reactive power,plant_phase_b_reactive_power,30023,2,RO,S32,1000,kvar,
plant_ro,247,Plant phase C reactive power,plant_phase_c_reactive_power,30025,2,RO,S32,1000,kvar,
plant_ro,247,General alarm 1,general_alarm_1,30027,1,RO,U16,,,Appendix 2 bitmask
plant_ro,247,General alarm 2,general_alarm_2,30028,1,RO,U16,,,Appendix 3 bitmask
plant_ro,247,General alarm 3,general_alarm_3,30029,1,RO,U16,,,Appendix 4 bitmask
plant_ro,247,General alarm 4,general_alarm_4,30030,1,RO,U16,,,Appendix 5 bitmask
plant_ro,247,Plant active power,plant_active_power,30031,2,RO,S32,1000,kW,
plant_ro,247,Plant reactive power,plant_reactive_power,30033,2,RO,S32,1000,kvar,
plant_ro,247,Photovoltaic power,photovoltaic_power,30035,2,RO,S32,1000,kW,
plant_ro,247,ESS power,ess_power,30037,2,RO,S32,1000,kW,<0 discharging; >0 charging
plant_ro,247,Available maximum active power,available_maximum_active_power,30039,2,RO,U32,1000,kW,Feed to AC terminal
plant_ro,247,Available minimum active power,available_minimum_active_power,30041,2,RO,U32,1000,kW,Absorb from AC terminal
